From	To	Species	Gene Name
HSP90AB1	ENSG00000096384	Homo sapiens	heat shock protein 90 alpha family class B member 1(HSP90AB1)
IFNA21	ENSG00000137080	Homo sapiens	interferon alpha 21(IFNA21)
RNASEL	ENSG00000135828	Homo sapiens	ribonuclease L(RNASEL)
TBK1	ENSG00000183735	Homo sapiens	TANK binding kinase 1(TBK1)
CNOT7	ENSG00000198791	Homo sapiens	CCR4-NOT transcription complex subunit 7(CNOT7)
CACTIN	ENSG00000105298	Homo sapiens	cactin, spliceosome C complex subunit(CACTIN)
ISG20	ENSG00000172183	Homo sapiens	interferon stimulated exonuclease gene 20(ISG20)
LSM14A	ENSG00000257103	Homo sapiens	LSM14A, mRNA processing body assembly factor(LSM14A)
NLRC5	ENSG00000140853	Homo sapiens	NLR family CARD domain containing 5(NLRC5)
USP18	ENSG00000184979	Homo sapiens	ubiquitin specific peptidase 18(USP18)
MYD88	ENSG00000172936	Homo sapiens	myeloid differentiation primary response 88(MYD88)
ISG15	ENSG00000187608	Homo sapiens	ISG15 ubiquitin-like modifier(ISG15)
TRIM6	ENSG00000121236	Homo sapiens	tripartite motif containing 6(TRIM6)
MX1	ENSG00000157601	Homo sapiens	MX dynamin like GTPase 1(MX1)
MX2	ENSG00000183486	Homo sapiens	MX dynamin like GTPase 2(MX2)
IP6K2	ENSG00000068745	Homo sapiens	inositol hexakisphosphate kinase 2(IP6K2)
EGR1	ENSG00000120738	Homo sapiens	early growth response 1(EGR1)
ABCE1	ENSG00000164163	Homo sapiens	ATP binding cassette subfamily E member 1(ABCE1)
SP100	ENSG00000067066	Homo sapiens	SP100 nuclear antigen(SP100)
BST2	ENSG00000130303	Homo sapiens	bone marrow stromal cell antigen 2(BST2)
FADD	ENSG00000168040	Homo sapiens	Fas associated via death domain(FADD)
HLA-B	ENSG00000234745	Homo sapiens	major histocompatibility complex, class I, B(HLA-B)
HLA-G	ENSG00000204632	Homo sapiens	major histocompatibility complex, class I, G(HLA-G)
HLA-F	ENSG00000204642	Homo sapiens	major histocompatibility complex, class I, F(HLA-F)
IFNAR1	ENSG00000142166	Homo sapiens	interferon alpha and beta receptor subunit 1(IFNAR1)
TYK2	ENSG00000105397	Homo sapiens	tyrosine kinase 2(TYK2)
IFNAR2	ENSG00000159110	Homo sapiens	interferon alpha and beta receptor subunit 2(IFNAR2)
UBE2K	ENSG00000078140	Homo sapiens	ubiquitin conjugating enzyme E2 K(UBE2K)
IFNB1	ENSG00000171855	Homo sapiens	interferon beta 1(IFNB1)
GBP2	ENSG00000162645	Homo sapiens	guanylate binding protein 2(GBP2)
MAVS	ENSG00000088888	Homo sapiens	mitochondrial antiviral signaling protein(MAVS)
WNT5A	ENSG00000114251	Homo sapiens	Wnt family member 5A(WNT5A)
IFITM1	ENSG00000185885	Homo sapiens	interferon induced transmembrane protein 1(IFITM1)
IFITM2	ENSG00000185201	Homo sapiens	interferon induced transmembrane protein 2(IFITM2)
IFITM3	ENSG00000142089	Homo sapiens	interferon induced transmembrane protein 3(IFITM3)
OAS3	ENSG00000111331	Homo sapiens	2'-5'-oligoadenylate synthetase 3(OAS3)
