ENSEMBL_GENE_ID	Name	Species
ENSG00000163630	synaptoporin(SYNPR)	Homo sapiens
ENSG00000163541	succinate-CoA ligase alpha subunit(SUCLG1)	Homo sapiens
ENSG00000106066	carboxypeptidase, vitellogenic like(CPVL)	Homo sapiens
ENSG00000142945	kinesin family member 2C(KIF2C)	Homo sapiens
ENSG00000088826	spermine oxidase(SMOX)	Homo sapiens
ENSG00000083857	FAT atypical cadherin 1(FAT1)	Homo sapiens
ENSG00000088386	solute carrier family 15 member 1(SLC15A1)	Homo sapiens
ENSG00000163406	solute carrier family 15 member 2(SLC15A2)	Homo sapiens
ENSG00000132591	Era like 12S mitochondrial rRNA chaperone 1(ERAL1)	Homo sapiens
ENSG00000120899	protein tyrosine kinase 2 beta(PTK2B)	Homo sapiens
ENSG00000102181	CD99 molecule like 2(CD99L2)	Homo sapiens
ENSG00000143322	ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)	Homo sapiens
ENSG00000115361	acyl-CoA dehydrogenase, long chain(ACADL)	Homo sapiens
ENSG00000167664	transmembrane and immunoglobulin domain containing 2(TMIGD2)	Homo sapiens
ENSG00000087085	acetylcholinesterase (Cartwright blood group)(ACHE)	Homo sapiens
ENSG00000162341	two pore segment channel 2(TPCN2)	Homo sapiens
ENSG00000171133	olfactory receptor family 2 subfamily K member 2(OR2K2)	Homo sapiens
ENSG00000130433	calcium voltage-gated channel auxiliary subunit gamma 6(CACNG6)	Homo sapiens
ENSG00000108576	solute carrier family 6 member 4(SLC6A4)	Homo sapiens
ENSG00000145569	family with sequence similarity 105 member A(FAM105A)	Homo sapiens
ENSG00000014257	acid phosphatase, prostate(ACPP)	Homo sapiens
ENSG00000101152	DnaJ heat shock protein family (Hsp40) member C5(DNAJC5)	Homo sapiens
ENSG00000106336	F-box protein 24(FBXO24)	Homo sapiens
ENSG00000185559	delta like non-canonical Notch ligand 1(DLK1)	Homo sapiens
ENSG00000173530	TNF receptor superfamily member 10d(TNFRSF10D)	Homo sapiens
ENSG00000146676	microRNA 4657(MIR4657)	Homo sapiens
ENSG00000128739	small nuclear ribonucleoprotein polypeptide N(SNRPN)	Homo sapiens
ENSG00000167977	potassium channel tetramerization domain containing 5(KCTD5)	Homo sapiens
ENSG00000119737	G protein-coupled receptor 75(GPR75)	Homo sapiens
ENSG00000171557	fibrinogen gamma chain(FGG)	Homo sapiens
ENSG00000165953	serpin family A member 12(SERPINA12)	Homo sapiens
ENSG00000205913	SRRM2 antisense RNA 1(SRRM2-AS1)	Homo sapiens
ENSG00000175785	proline rich membrane anchor 1(PRIMA1)	Homo sapiens
ENSG00000185821	olfactory receptor family 6 subfamily C member 76(OR6C76)	Homo sapiens
ENSG00000173480	zinc finger protein 417(ZNF417)	Homo sapiens
ENSG00000131876	small nuclear ribonucleoprotein polypeptide A'(SNRPA1)	Homo sapiens
ENSG00000166446	chromodomain Y-like 2(CDYL2)	Homo sapiens
ENSG00000115904	SOS Ras/Rac guanine nucleotide exchange factor 1(SOS1)	Homo sapiens
ENSG00000168267	pancreas specific transcription factor, 1a(PTF1A)	Homo sapiens
ENSG00000115468	EF-hand domain family member D1(EFHD1)	Homo sapiens
ENSG00000183856	IQ motif containing GTPase activating protein 3(IQGAP3)	Homo sapiens
ENSG00000173818	endonuclease V(ENDOV)	Homo sapiens
ENSG00000174292	tyrosine kinase non receptor 1(TNK1)	Homo sapiens
ENSG00000198715	glycosylated lysosomal membrane protein(GLMP)	Homo sapiens
ENSG00000073584	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1(SMARCE1)	Homo sapiens
ENSG00000127318	interleukin 22(IL22)	Homo sapiens
ENSG00000136280	CCM2 scaffolding protein(CCM2)	Homo sapiens
ENSG00000168269	forkhead box I1(FOXI1)	Homo sapiens
ENSG00000105929	ATPase H+ transporting V0 subunit a4(ATP6V0A4)	Homo sapiens
ENSG00000127616	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4(SMARCA4)	Homo sapiens
ENSG00000108846	ATP binding cassette subfamily C member 3(ABCC3)	Homo sapiens
ENSG00000164742	adenylate cyclase 1(ADCY1)	Homo sapiens
ENSG00000077232	DnaJ heat shock protein family (Hsp40) member C10(DNAJC10)	Homo sapiens
ENSG00000174233	adenylate cyclase 6(ADCY6)	Homo sapiens
ENSG00000088827	sialic acid binding Ig like lectin 1(SIGLEC1)	Homo sapiens
ENSG00000126453	BCL2 like 12(BCL2L12)	Homo sapiens
ENSG00000137204	solute carrier family 22 member 7(SLC22A7)	Homo sapiens
ENSG00000172046	ubiquitin specific peptidase 19(USP19)	Homo sapiens
ENSG00000115919	kynureninase(KYNU)	Homo sapiens
ENSG00000108823	sarcoglycan alpha(SGCA)	Homo sapiens
ENSG00000196233	chromosome 10 open reading frame 12(C10orf12)	Homo sapiens
ENSG00000161956	SUMO1/sentrin/SMT3 specific peptidase 3(SENP3)	Homo sapiens
ENSG00000106268	nudix hydrolase 1(NUDT1)	Homo sapiens
ENSG00000100077	G protein-coupled receptor kinase 3(GRK3)	Homo sapiens
ENSG00000147144	coiled-coil domain containing 120(CCDC120)	Homo sapiens
ENSG00000244411	keratin associated protein 5-7(KRTAP5-7)	Homo sapiens
ENSG00000074771	NADPH oxidase 3(NOX3)	Homo sapiens
ENSG00000071537	SEL1L ERAD E3 ligase adaptor subunit(SEL1L)	Homo sapiens
ENSG00000087250	metallothionein 3(MT3)	Homo sapiens
ENSG00000203883	SRY-box 18(SOX18)	Homo sapiens
ENSG00000162460	transmembrane protein 82(TMEM82)	Homo sapiens
ENSG00000197748	cilia and flagella associated protein 43(CFAP43)	Homo sapiens
ENSG00000104964	amino-terminal enhancer of split(AES)	Homo sapiens
ENSG00000133101	cyclin A1(CCNA1)	Homo sapiens
ENSG00000138081	F-box protein 11(FBXO11)	Homo sapiens
ENSG00000161547	serine and arginine rich splicing factor 2(SRSF2)	Homo sapiens
ENSG00000198954	KIF1 binding protein(KIF1BP)	Homo sapiens
ENSG00000145604	S-phase kinase associated protein 2(SKP2)	Homo sapiens
ENSG00000110243	apolipoprotein A5(APOA5)	Homo sapiens
ENSG00000137331	immediate early response 3(IER3)	Homo sapiens
ENSG00000110921	mevalonate kinase(MVK)	Homo sapiens
ENSG00000142959	bestrophin 4(BEST4)	Homo sapiens
ENSG00000142102	protein-glucosylgalactosylhydroxylysine glucosidase(PGGHG)	Homo sapiens
ENSG00000117036	ETS variant 3(ETV3)	Homo sapiens
ENSG00000175832	ETS variant 4(ETV4)	Homo sapiens
ENSG00000138079	solute carrier family 3 member 1(SLC3A1)	Homo sapiens
ENSG00000085719	copine 3(CPNE3)	Homo sapiens
ENSG00000065911	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase(MTHFD2)	Homo sapiens
ENSG00000198039	zinc finger protein 273(ZNF273)	Homo sapiens
ENSG00000100170	solute carrier family 5 member 1(SLC5A1)	Homo sapiens
ENSG00000138759	Fraser extracellular matrix complex subunit 1(FRAS1)	Homo sapiens
ENSG00000156509	F-box protein 43(FBXO43)	Homo sapiens
ENSG00000100078	phospholipase A2 group III(PLA2G3)	Homo sapiens
ENSG00000184708	eukaryotic translation initiation factor 4E nuclear import factor 1(EIF4ENIF1)	Homo sapiens
ENSG00000112761	WNT1 inducible signaling pathway protein 3(WISP3)	Homo sapiens
ENSG00000164687	fatty acid binding protein 5(FABP5)	Homo sapiens
ENSG00000159202	ubiquitin conjugating enzyme E2 Z(UBE2Z)	Homo sapiens
ENSG00000163462	tripartite motif containing 46(TRIM46)	Homo sapiens
ENSG00000008513	ST3 beta-galactoside alpha-2,3-sialyltransferase 1(ST3GAL1)	Homo sapiens
ENSG00000135773	calpain 9(CAPN9)	Homo sapiens
ENSG00000126778	SIX homeobox 1(SIX1)	Homo sapiens
ENSG00000147081	A-kinase anchoring protein 4(AKAP4)	Homo sapiens
